Change component parameters: Designator = "BAT1" ("BAT1"); Footprint = "CR1220H"; UniqueID = "\NJAAVEHV\FXSVLSQM" ("\NJAAVEHV\FXSVLSQM")
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J13" ("J13"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\YKKIEQSC" ("\MLKEBXPQ\YKKIEQSC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J14" ("J14"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\QVDSTWJF" ("\MLKEBXPQ\QVDSTWJF")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J15" ("J15"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\TPEKIIFW" ("\MLKEBXPQ\TPEKIIFW")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J16" ("J16"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\IMNNIJON" ("\MLKEBXPQ\IMNNIJON")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J17" ("J17"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\LTNAATSE" ("\MLKEBXPQ\LTNAATSE")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J18" ("J18"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\GSTYUSUC" ("\MLKEBXPQ\GSTYUSUC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J19" ("J19"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\VIMSURHS" ("\MLKEBXPQ\VIMSURHS")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J20" ("J20"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\RRGOOXIN" ("\MLKEBXPQ\RRGOOXIN")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J21" ("J21"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\JEGBHQUT" ("\MLKEBXPQ\JEGBHQUT")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J22" ("J22"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\RAMUXNEG" ("\MLKEBXPQ\RAMUXNEG")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PIN_1_CABLE_1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "PIN CABLE"; VariantName = "[No Variations]"
Change component parameters: Designator = "J23" ("J23"); Footprint = "SIP3_2_90"; UniqueID = "\MLKEBXPQ\DFOOIBFA" ("\MLKEBXPQ\DFOOIBFA")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "PROVISTO POR EC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HEADER_2x3POS_90º_0.1""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "ElectroComponentes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "HEADER_2x3POS_90º_0.1""; VariantName = "[No Variations]"
Change component parameters: Designator = "J24" ("J24"); Footprint = "PIN_CABLE"; UniqueID = "\MLKEBXPQ\XWFDUOGK" ("\MLKEBXPQ\XWFDUOGK")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
